Facility,CH4_Emissions
 Chicago Assembly Plant,246.27
 FORD CLEVELAND SITE,114.38
 FORD KANSAS CITY ASSEMBLY PLANT,438.08
 FORD KENTUCKY TRUCK PLANT,421.54
 FORD LIVONIA SITE,100.06
 FORD LOUISVILLE ASSEMBLY PLANT,274.08
 FORD MICHIGAN ASSEMBLY SITE,450.74
 FORD OHIO ASSEMBLY PLANT,214.13
 FORD RESEARCH AND ENGINEERING CENTER,356.72
 FORD ROUGE SITE,354.9
 FORD SHARONVILLE TRANSMISSION PLANT,89.83
 FORD STERLING PLANT,210.48
 Flat Rock Assembly Plant,264.17
 TWIN CITIES ASSEMBLY PLANT,54.830000000000005
FCA Belvidere Assembly Plant,86940.65
FCA Chrysler Technology Center,51631.35
FCA Detroit Assembly Complex - Mack,8.5
FCA JEFFERSON NORTH ASSEMBLY PLANT,89786.2
FCA KOKOMO CASTING PLANT,24320.4
FCA KOKOMO TRANSMISSION PLANT,35028.15
FCA STERLING HEIGHTS ASSEMBLY PLANT,78396.75
FCA STERLING HEIGHTS VEHICLE TEST CENTER,424.75
FCA STERLING STAMPING PLANT,11447.35
FCA TOLEDO ASSEMBLY COMPLEX,96354.85
FCA WARREN STAMPING PLANT,6810.8
FCA WARREN TRUCK ASSEMBLY PLANT,108855.15
FCA Warren PDC,6395.5
GENERAL MOTORS CORP - MILFORD PROVING GROUND,125.25
GENERAL MOTORS FAIRFAX ASSEMBLY PLANT,222.25
GENERAL MOTORS FORT WAYNE ASSEMBLY,747.5
GENERAL MOTORS LANSING DELTA TOWNSHIP,225.5
GENERAL MOTORS LLC BEDFORD CETC,108747.5
GENERAL MOTORS LORDSTOWN COMPLEX EAST,286.75
GENERAL MOTORS MLCG DETROIT-HAMTRAMCK ASSEM BLY CENTER,958.75
GENERAL MOTORS SAGINAW METAL CASTING OPERATIONS,70243.75
GMC TRUCK GROUP ARLINGTON ASSEMBLY PLANT,254.0
General Motors Components Holdings LLC,11.75
General Motors LLC Orion Assembly,133.0
General Motors LLC Wentzville,106509.85
General Motors Spring Hill Manufacturing,53.75
TeslaInc.,102.5
